gene	community
AT3G47620	1
AT3G50700	1
AT1G30490	1
AT1G14685	1
AT4G16780	1
AT5G06710	1
AT1G14920	1
AT2G01570	1
AT2G02070	1
AT2G01760	1
AT1G70920	1
AT2G44910	1
AT2G23760	1
AT5G47370	1
AT2G01930	1
AT1G32240	1
AT5G16560	1
AT2G41940	1
AT5G60120	1
AT4G34680	1
AT5G53950	1
AT4G22950	1
AT4G37940	1
AT1G06040	1
AT3G24650	1
AT4G36930	1
AT1G18400	1
AT4G27330	1
AT4G36870	1
AT2G28550	1
AT3G23130	1
AT2G02080	1
AT5G44210	1
AT5G03150	1
AT2G21240	1
AT1G01060	2
AT3G02380	2
AT4G38960	2
AT3G09600	2
AT1G80840	2
AT4G31800	2
AT2G25000	2
AT4G01720	2
AT1G27730	2
AT4G17500	2
AT5G61600	2
AT1G69810	2
AT4G17490	2
AT5G04340	2
AT2G46830	2
AT5G15840	2
AT5G51190	2
AT2G40140	2
AT5G47230	2
AT1G28370	2
AT5G59820	2
AT5G22570	2
AT1G09530	2
AT1G73830	2
AT2G17040	2
AT1G56170	3
AT3G10800	3
AT1G30500	3
AT2G40950	3
AT4G14540	3
AT5G12840	3
AT1G54830	3
AT1G07980	3
AT3G53340	3
AT5G47670	3
AT2G37060	3
AT1G21970	3
AT3G54320	3
AT5G06510	3
AT5G17430	3
AT1G42990	3
AT3G49530	3
AT2G47810	3
AT1G75240	4
AT3G50890	4
AT1G28360	4
AT5G39820	4
AT3G19290	4
AT4G25480	4
AT1G14440	4
AT2G18550	4
AT1G49720	4
AT5G05410	4
AT5G65410	4
AT1G16490	4
AT1G28470	4
AT1G69600	4
AT4G24660	4
AT5G56110	4
AT1G63910	4
AT3G50060	5
AT5G67300	5
AT2G23290	5
AT4G37260	5
AT1G76890	5
AT2G46310	6
AT4G23750	6
AT3G61630	6
AT4G11140	6
AT5G15850	7
AT3G02150	7
AT3G49940	7
AT4G17695	7
AT5G65210	7
AT2G33480	7
AT2G27110	7
AT4G24470	7
AT2G31380	7
AT3G17609	7
AT1G53230	7
AT3G15030	7
AT2G02450	7
AT2G31070	7
AT5G08070	7
AT4G38180	7
AT1G22070	7
AT3G16870	7
AT4G18390	7
AT3G60390	7
AT3G55980	7
AT4G02670	7
AT4G32980	7
AT3G12250	7
AT3G57230	7
AT4G24540	7
AT2G18120	7
AT5G39660	7
AT3G15210	7
AT5G15210	7
AT5G60970	7
AT4G36540	7
AT2G33860	7
AT1G30210	7
AT2G22770	7
AT1G71030	7
AT2G03710	7
AT2G45660	7
AT5G13180	7
AT3G27010	7
AT1G75520	7
AT2G37630	7
AT3G24520	7
AT2G17950	7
AT1G25560	7
AT2G04038	7
AT2G28160	7
AT5G04150	7
AT4G00150	7
AT5G42630	7
AT5G35900	7
AT1G68130	7
AT5G06960	7
AT5G39760	7
AT1G12860	8
AT3G26744	8
AT3G24140	8
AT1G14350	8
AT1G62990	8
AT4G34590	9
AT5G49450	9
AT1G75390	9
AT1G13600	9
AT3G62420	9
AT3G54620	9
AT5G28770	9
AT5G24800	9
AT3G30530	9
AT1G43700	10
AT2G42380	10
AT4G36900	10
AT5G24590	10
AT1G30330	10
AT2G43010	10
AT3G58120	10
AT1G02340	10
AT3G19860	10
AT2G20180	10
AT3G61910	10
AT4G12350	10
AT3G54430	10
AT5G66350	10
AT5G06650	10
AT1G69560	10
AT5G03740	10
AT1G32770	10
AT2G04890	10
AT2G32460	10
AT1G69180	10
AT1G54330	10
AT5G11590	10
AT5G50820	10
AT1G68320	10
AT1G50640	10
AT1G09030	10
AT2G28610	10
AT5G16600	10
AT5G12870	10
AT1G51600	10
AT3G19510	10
AT1G46264	11
AT2G26150	11
AT4G11660	11
AT3G51910	11
AT5G62020	11
AT4G36990	11
AT1G32330	11
AT3G02990	11
AT3G63350	11
AT5G03720	11
AT4G18880	11
AT1G77450	12
AT4G27410	12
AT5G39610	12
AT2G22540	12
AT4G01120	12
AT5G15800	12
AT5G60910	12
AT1G03970	12
AT2G41070	12
AT1G69120	12
AT3G54340	12
AT5G61850	12
AT1G31630	12
AT2G24840	12
AT5G02840	12
AT5G13910	12
AT1G24260	12
AT5G46880	12
AT2G45650	12
AT5G58890	12
AT2G36270	12
AT3G44460	12
AT3G56850	12
AT3G58780	12
AT5G37260	12
AT5G47220	12
AT2G47190	12
AT3G61120	12
AT5G62165	12
AT2G42830	12
AT4G32890	12
AT3G57390	12
AT3G02310	12
AT4G01250	13
AT4G24240	13
AT2G22430	14
AT5G65310	14
AT4G40060	14
AT3G01140	15
AT5G61420	15
AT1G18570	15
AT2G38470	15
AT1G32640	15
AT3G20770	15
AT1G74080	15
AT5G46830	15
AT5G60890	15
AT5G07690	15
AT1G52880	16
AT4G36920	16
AT1G68880	16
AT2G46270	16
AT4G34000	16
AT3G14020	17
AT4G34990	17
AT4G17785	17
AT4G01550	17
AT5G41090	17
AT1G17950	17
AT1G20700	17
AT4G37740	17
AT2G31180	17
AT4G22700	17
AT5G47640	17
AT2G38880	17
AT5G38140	17
AT5G22380	17
AT1G72830	17
AT5G10140	17
AT5G15160	17
AT2G26960	17
AT1G65360	17
AT3G11440	17
AT1G63650	18
AT3G27920	18
AT1G79840	18
AT5G40330	18
AT4G00480	18
AT5G53200	18
AT5G45300	18
AT2G30420	18
AT1G79180	18
AT4G09820	18
AT5G38800	18
AT1G71692	18
AT1G56650	18
AT3G03450	19
AT3G05690	19
AT2G01940	19
AT4G23980	19
AT1G66350	19
AT1G08970	19
AT1G54160	19
AT3G28920	19
AT4G35550	19
AT1G23420	19
AT1G17590	19
AT2G34720	19
AT2G20570	19
AT2G45190	19
AT1G32540	19
AT2G02740	19
AT5G67110	19
AT2G13570	19
AT1G26780	19
AT1G76420	19
AT4G01500	19
AT5G21120	19
AT5G56780	19
AT5G42780	19
AT1G59750	19
AT2G32250	19
AT3G01220	19
AT1G73410	19
AT1G34310	20
AT5G60450	20
AT1G19850	20
AT4G32880	20
AT5G20730	20
AT4G04890	21
AT4G21750	21
AT3G49850	22
AT3G47640	22
AT4G14410	22
AT3G01470	22
AT1G26260	23
AT5G41410	23
AT5G25220	23
AT2G16400	23
AT1G19700	23
AT1G75410	23
AT5G02030	23
AT4G32040	23
AT4G08150	23
AT4G34610	23
AT2G27990	23
AT2G35940	24
AT4G32010	24
AT1G53170	24
AT3G16857	24
AT1G18750	25
AT1G22130	25
AT3G18650	26
AT5G27910	26
AT1G31640	26
AT2G27470	26
AT1G67970	27
AT5G45710	27
AT1G09770	28
AT5G63420	28
AT3G21175	29
AT5G11270	29
AT2G35530	30
AT4G36730	30
AT1G19220	31
AT5G08130	31
AT3G60530	31
AT1G79430	32
AT4G25470	32
AT1G67710	33
AT5G03790	33
AT1G10240	34
AT1G54060	34
AT1G23380	35
AT5G53290	35
AT5G02470	36
AT5G22220	36
AT1G60280	37
AT5G01860	37
AT4G18960	38
AT5G13790	38
AT2G22800	39
AT4G37790	39
AT1G76870	40
