Gene_A	Gene_B	correlation
AT1G63780	AT2G44860	0.9727692233990112
AT1G20450	AT5G52310	0.972766409237533
AT1G25260	AT3G06530	0.9727334065100983
AT1G31660	AT1G55900	0.9726321953511201
AT1G13160	AT2G17250	0.9726244493182062
AT1G34220	AT5G04170	0.9725615788804874
AT1G03130	AT1G68010	0.9724070710499788
AT1G64770	AT5G52100	0.9724050761207035
AT1G44446	AT3G59400	0.972388421170271
AT1G15440	AT2G18220	0.9723705715363159
AT1G72320	AT5G52820	0.9720850672274182
AT1G03530	AT2G45730	0.9719601217929157
AT1G15440	AT5G20600	0.9719477355344365
AT1G69070	AT3G15080	0.9719059590994163
AT1G29940	AT3G11964	0.971850413723477
AT1G12650	AT3G22660	0.9717669732033805
AT1G03530	AT4G23540	0.9717398553628075
AT1G63800	AT2G46030	0.971719361991101
AT1G07440	AT2G29310	0.9716938979133937
AT1G15420	AT4G22380	0.9716860403605644
AT1G75670	AT2G18900	0.9716457423481928
AT1G03530	AT2G18220	0.9716190409188952
AT1G69070	AT2G18900	0.971464618497789
AT1G25260	AT2G19540	0.9712994948650039
AT1G31660	AT3G16810	0.9712651423870071
AT1G10760	AT4G18240	0.9712383486760269
AT1G15440	AT2G22400	0.9712252214502387
AT1G75670	AT4G01560	0.9712223666713253
AT1G15440	AT4G28200	0.9712117611622447
AT1G15420	AT3G58660	0.9711775030271012
AT1G06380	AT2G47990	0.9711280637626662
AT1G07360	AT3G01150	0.971101142356294
AT1G56300	AT5G24470	0.9710256681034877
AT1G15440	AT4G04940	0.9709121251275121
AT1G70660	AT3G20060	0.9707907647790417
AT1G70580	AT5G04140	0.9707039074508198
AT1G72320	AT3G57940	0.9706368443620227
AT1G29940	AT1G52980	0.9705806289411363
AT1G43860	AT4G34910	0.9704915767458365
AT2G25930	AT5G61380	0.9703793915905562
AT1G16280	AT5G20160	0.9700820292535056
AT1G29940	AT1G31660	0.9700138211328526
AT1G07320	AT1G48350	0.9700129751960397
AT1G77680	AT5G35910	0.9698580446696045
AT1G14700	AT1G25230	0.969755882694609
AT1G29940	AT2G40360	0.9696969479930783
AT1G15440	AT5G35910	0.9695866563044634
AT1G56300	AT5G65300	0.9695782658832481
AT1G03530	AT3G06530	0.9695678274958351
AT1G48920	AT3G10530	0.9694518148943007
AT1G10760	AT2G36390	0.9693495032156334
AT1G06380	AT2G18220	0.9691816953620196
AT1G15440	AT2G03820	0.9691280874479242
AT1G02870	AT5G15750	0.9691016495810798
AT1G10490	AT3G16810	0.9690179913420994
AT1G24100	AT4G39940	0.9689577509162108
AT1G68010	AT5G23060	0.9689534924477358
AT1G15950	AT2G30490	0.9689132154251345
AT1G07360	AT3G19840	0.9689047483475172
AT1G06380	AT3G10530	0.9688925881689762
AT1G14345	AT5G02120	0.9688778552740601
AT1G77180	AT2G29210	0.9688382086600464
AT1G03530	AT4G25730	0.9688198494267287
AT1G23390	AT2G44130	0.9687202351192102
AT1G09010	AT5G65760	0.9687200369615552
AT1G31660	AT5G44320	0.9687081022094854
AT1G56110	AT1G75670	0.9684047216378336
AT1G09340	AT1G43670	0.9683264500893186
AT1G31660	AT3G12270	0.9683137574786858
AT1G72320	AT3G06530	0.9682990712731099
AT1G25260	AT5G15550	0.9681730562247565
AT1G10490	AT3G13940	0.9681407968744709
AT1G10580	AT4G03430	0.9679993943688016
AT1G04870	AT2G40360	0.9678543585349609
AT1G52230	AT3G08940	0.9678088255053583
AT1G02870	AT5G48240	0.9678043358307918
AT1G74470	AT4G02770	0.9677496994626746
AT1G48480	AT2G01950	0.9676836707785493
AT1G27680	AT4G09020	0.9676728021994813
AT1G56110	AT3G18600	0.9676427102133944
AT1G36310	AT5G15550	0.9676081085955598
AT1G54780	AT4G02770	0.9674841043247269
AT1G31660	AT1G79150	0.9674581734491364
AT1G03905	AT5G44110	0.9674314751341128
AT1G29940	AT3G57660	0.9673806592168375
AT4G18700	AT5G55990	0.9673580907456593
AT1G35340	AT5G01015	0.9672991487503049
AT1G10090	AT4G04340	0.9672485221751059
AT1G06380	AT5G20160	0.9672096250923402
AT1G10760	AT3G52180	0.9671734563249961
AT1G06380	AT5G20600	0.9671650992440356
AT1G69830	AT3G46970	0.9671516759770389
AT4G11220	AT4G23630	0.9671425338441335
AT1G13160	AT3G58660	0.9670460710287204
AT1G06380	AT4G05410	0.9669938409206854
AT1G47710	AT4G04340	0.9669871519676063
AT1G29940	AT5G48240	0.9669439355460266
AT1G10490	AT3G12270	0.9669373340730993
AT1G29940	AT1G75670	0.9668330591341853
AT1G43860	AT2G03820	0.9667953261904839
AT1G20630	AT4G11600	0.9667763267347973
AT1G10490	AT5G66540	0.9665618258254861
AT1G52930	AT3G49180	0.9664490245039153
AT1G14345	AT1G54500	0.9664095511206727
AT1G75670	AT3G15080	0.9663681514116939
AT1G15440	AT1G72320	0.9662002221419339
AT1G67080	AT3G14210	0.9661154597015903
AT1G47710	AT3G46970	0.9661153727327365
AT1G10490	AT5G64420	0.9660649826044169
AT1G09010	AT5G22860	0.9660321722046525
AT1G15440	AT5G08620	0.9660231192802078
AT1G03600	AT1G54780	0.9660183483895621
AT1G54770	AT4G04940	0.9659946293768249
AT1G12650	AT2G44510	0.9659398561493825
AT1G64600	AT3G16810	0.9658586658408179
AT1G64510	AT3G13120	0.9658557616546114
AT1G10490	AT3G55510	0.9656546919949028
AT1G15820	AT5G01530	0.9656527083922548
AT1G20630	AT3G46970	0.9656234280284182
AT1G02870	AT5G54910	0.9656157659016252
AT1G74090	AT2G43100	0.9655000823305775
AT1G52930	AT4G01560	0.9654715020891875
AT1G08880	AT1G54690	0.9654473015393427
AT1G44000	AT3G59400	0.9654387486337961
AT1G06720	AT5G48240	0.9654308858037429
AT1G12650	AT3G09720	0.9654027534102528
AT1G54770	AT2G36930	0.965398283918681
AT1G15440	AT1G48920	0.9653509582526189
AT1G25260	AT2G34260	0.9653183651883063
AT1G25260	AT3G01160	0.9652591727583427
AT2G25930	AT3G22380	0.9652131332372996
AT1G21500	AT3G08940	0.9651651105797926
AT1G06460	AT4G32340	0.9651222766015947
AT1G18590	AT1G74090	0.9650425064598982
AT1G48920	AT4G28200	0.9648752591380022
AT1G29940	AT5G41010	0.9648649981175313
AT1G72320	AT4G02400	0.9648205362816095
AT1G15440	AT3G15460	0.9647226630668306
AT1G52230	AT1G68010	0.9646604151938568
AT1G15440	AT4G19610	0.9646234629946407
AT1G29440	AT1G29500	0.9645054181071926
AT1G15440	AT5G64420	0.9643837100994018
AT1G75670	AT5G38720	0.9643154610121465
AT1G47710	AT5G39410	0.9642941477203936
AT1G52930	AT1G75670	0.9642487085454051
AT1G02870	AT3G16810	0.964130507987206
AT1G20920	AT2G17870	0.9641292084427291
AT1G31660	AT4G25340	0.9641269917516165
AT1G31660	AT3G56990	0.964086460796584
AT1G14360	AT2G46330	0.963979243363029
AT1G03530	AT4G34910	0.9639171463331336
AT1G29940	AT5G14520	0.963912719010741
AT1G25260	AT3G18600	0.963881377189446
AT1G29460	AT1G29510	0.9638515194700215
AT1G01940	AT2G47250	0.9637813796088763
AT1G23740	AT1G44000	0.9637798595066455
AT1G15440	AT4G29510	0.9637227846313009
AT1G56110	AT3G16810	0.9636019340973199
AT1G03360	AT1G12650	0.963597588061281
AT1G72320	AT5G15750	0.9634509646741799
AT1G29940	AT4G25730	0.9633728795547515
AT1G03600	AT1G05385	0.9633179670113483
AT1G31660	AT5G38720	0.9631788815715845
AT1G07360	AT1G77180	0.9631579276703012
AT1G69070	AT2G40360	0.9631189922894347
AT1G31660	AT3G15080	0.9630917311444689
AT1G15820	AT3G08940	0.9630888025293146
AT1G56500	AT2G43560	0.9629271884500524
AT1G18880	AT1G62200	0.9628683474156029
AT1G12650	AT5G48240	0.9628620196489336
AT1G14030	AT5G64380	0.9628527716257543
AT1G15440	AT3G12670	0.9628360719148935
AT1G15440	AT5G59240	0.9628035388560781
AT1G29940	AT5G08620	0.9627884884707872
AT1G15820	AT1G51400	0.9627702287503369
