gene	community
AT5G08330	32
AT1G26960	33
AT4G31270	33
AT3G24140	34
AT3G25710	34
AT1G14350	34
AT1G12860	34
AT1G79430	35
AT4G00150	35
AT1G59530	36
AT5G61620	36
AT1G02220	37
AT5G23090	37
AT2G17770	38
AT4G35900	38
AT4G34610	39
AT5G66300	39
AT1G67710	40
AT5G03790	40
AT3G50870	41
AT5G18560	41
AT3G16870	42
AT4G17980	42
AT1G56650	43
AT4G09820	43
AT1G28470	44
AT1G79180	44
AT1G63910	44
AT5G25160	45
AT5G42630	45
AT2G18550	46
AT5G56110	46
