protein1	protein2
AT1G32240	AT4G00180
AT1G32330	AT5G62020
AT1G32330	AT3G51910
AT1G32330	AT2G26150
AT1G32330	AT5G43840
AT1G32330	AT5G45710
AT1G32330	AT5G03720
AT1G32330	AT3G24520
AT1G32330	AT3G63350
AT1G32330	AT1G46264
AT1G32330	AT4G18880
AT1G32330	AT4G17750
AT1G32330	AT4G11660
AT1G32330	AT4G13980
AT1G32330	AT1G67970
AT1G32330	AT5G54070
AT1G32330	AT3G22830
AT1G32330	AT5G16820
AT1G32330	AT4G36990
AT1G32330	AT2G41690
AT1G32330	AT3G02990
AT1G32640	AT4G24470
AT1G32640	AT3G27810
AT1G32640	AT5G40350
AT1G32640	AT3G20770
AT1G32640	AT2G47190
AT1G32640	AT1G06160
AT1G32640	AT2G27050
AT1G32770	AT1G79180
AT1G32770	AT4G22680
AT1G32770	AT5G12870
AT1G32770	AT5G16600
AT1G32770	AT3G08500
AT1G32770	AT1G17950
AT1G32770	AT1G73410
AT1G32770	AT1G63910
AT1G32770	AT1G16490
AT1G32770	AT5G56110
AT1G32770	AT4G33450
AT1G32770	AT1G62990
AT1G33060	AT1G49560
AT1G33280	AT4G18870
AT1G34170	AT4G36920
AT1G34310	AT4G31660
AT1G34790	AT5G23260
AT1G34790	AT5G35550
AT1G34790	AT2G37260
AT1G34790	AT4G09820
AT1G34790	AT1G56650
AT1G35560	AT5G60970
AT1G35560	AT1G30210
AT1G42990	AT1G68880
AT1G42990	AT5G64060
AT1G42990	AT3G49530
AT1G43700	AT1G69180
AT1G44810	AT4G00270
AT1G45249	AT5G05410
AT1G45249	AT1G68880
AT1G45249	AT5G46590
AT1G45249	AT2G40340
AT1G45249	AT1G66600
AT1G45249	AT4G25480
AT1G46264	AT5G62020
AT1G46264	AT3G51910
AT1G46264	AT2G26150
AT1G46264	AT5G43840
AT1G46264	AT5G45710
AT1G46264	AT5G03720
AT1G46264	AT3G24520
AT1G46264	AT3G63350
AT1G46264	AT4G18880
AT1G46264	AT1G32330
AT1G46264	AT4G17750
AT1G46264	AT4G11660
AT1G46264	AT4G13980
AT1G46264	AT1G67970
AT1G46264	AT5G54070
AT1G46264	AT3G22830
AT1G46264	AT5G16820
AT1G46264	AT4G36990
AT1G46264	AT2G41690
AT1G46264	AT3G02990
AT1G46480	AT2G45160
AT1G47760	AT3G18650
AT1G47760	AT5G65330
AT1G47760	AT5G58890
AT1G47870	AT5G02470
AT1G47870	AT5G22220
AT1G47870	AT5G03415
AT1G48195	AT1G05805
AT1G49010	AT3G24860
AT1G49010	AT4G01280
AT1G49010	AT3G52250
AT1G49130	AT2G33500
AT1G49475	AT1G49480
AT1G49480	AT1G49475
AT1G49480	AT3G18960
AT1G49480	AT4G01580
AT1G49560	AT1G33060
AT1G49560	AT3G04420
AT1G49770	AT3G26744
AT1G49950	AT3G53790
AT1G49950	AT1G07540
AT1G50420	AT1G03840
