protein1	protein2
ISL1	NKX2-5
ISL1	LHX3
ISL1	NKX6-1
ISL1	FOXA2
ISL1	NKX2-2
POU4F3	GFI1
POU4F3	ATOH1
HAND1	HAND2
HAND1	NKX2-5
HAND1	NFATC1
HAND1	MEF2C
HAND1	FOXP4
NR3C1	NR3C2
NR3C1	ATF2
NR3C1	SMAD3
NR3C1	ESR1
NR3C1	IRF1
NR3C1	EPAS1
NR3C1	ESRRA
NR3C1	IRF4
NR3C1	STAT1
NR3C1	STAT5B
NR3C1	MEF2C
NR3C1	NCOA1
NR3C1	RXRA
NR3C1	IRF3
NR3C1	GTF2B
NR3C1	SMAD4
NR3C1	JUN
NR3C1	FOS
NR3C1	IRF2
NR3C1	TP53
NR3C1	NFKB1
NR3C1	NCOA3
NR3C1	TWIST1
NR3C1	STAT5A
NR3C1	IRF7
NR3C1	IRF5
NR3C1	PGR
NR3C1	RELA
NR3C1	GTF3A
NR3C1	AR
NR3C1	ARHGAP35
NR3C1	NCOA2
NR3C1	HIVEP3
NR3C1	IRF6
NR3C1	RARA
NR3C1	HIF1A
CDX1	LEF1
LTF	NFKB1
HES1	HEYL
HES1	RUNX2
HES1	BHLHE40
HES1	HES6
HES1	GATA1
HES1	MYB
HES1	HEY2
HES1	PTF1A
HES1	NEUROG3
HES1	STAT1
HES1	HES5
HES1	RUNX3
HES1	HEY1
HES1	STAT3
HES1	RBPJ
TBPL1	TBPL2
TBPL1	GTF2B
TBPL1	BRF2
TBPL1	TP53
TBPL1	TBP
TBPL1	DRAP1
TBPL1	ZBED1
GSC	E2F1
GSC	TFDP1
GSC	E2F2
GSC	E2F3
GSC	SPI1
HOXB8	HOXA5
HOXB8	HOXB6
HOXB8	HOXB5
HOXB8	HOXB4
HOXB5	HOXA5
HOXB5	HOXA6
HOXB5	HOXB6
HOXB5	HOXB3
HOXB5	HOXC4
HOXB5	HOXC9
HOXB5	HOXC5
HOXB5	HOXB7
HOXB5	HOXD4
HOXB5	HOXC6
HOXB5	HOXA3
HOXB5	HOXB4
HOXB5	HOXB8
HOXB5	HOXA7
HOXB7	HOXA5
HOXB7	PBX2
HOXB7	HOXA6
HOXB7	HOXB6
HOXB7	HOXC8
HOXB7	HOXB3
HOXB7	HOXC4
HOXB7	PBX1
HOXB7	HOXC5
HOXB7	HOXB5
HOXB7	HOXD4
HOXB7	HOXC6
HOXB7	HOXA3
HOXB7	HOXB4
HOXB7	HOXA7
MSX2	RUNX2
MSX2	SP7
MSX2	NKX3-2
MSX2	STAT1
MSX2	DLX6
MSX2	MSX1
MSX2	DLX5
MSX2	HIVEP3
ELF1	E2F1
ELF1	RUNX1
ELF1	TFDP1
ELF1	E2F2
ELF1	E2F3
ELF1	ELF2
ELF1	PAX5
EGR1	JUND
EGR1	STAT2
EGR1	GATAD2B
EGR1	ATF2
EGR1	IRF9
EGR1	SNAI1
EGR1	ATF3
EGR1	IRF1
EGR1	IRF4
EGR1	NFATC2
EGR1	IRF3
EGR1	REST
EGR1	MBD3
EGR1	SALL4
EGR1	PPARG
EGR1	JUN
EGR1	NR2E1
EGR1	FOS
EGR1	IRF2
EGR1	TP53
EGR1	MECOM
EGR1	CREB1
EGR1	JUNB
EGR1	FOSB
EGR1	NFATC1
EGR1	GATAD2A
EGR1	EGR2
EGR1	CBX2
EGR1	IRF8
EGR1	IRF7
EGR1	NFATC3
EGR1	IRF5
EGR1	NR4A1
EGR1	SNAI2
EGR1	IRF6
NFYB	NFYC
NFYB	SP1
NFYB	NFYA
NFYB	MYC
NFYB	TP53
NFYB	TBP
NFYB	REPIN1
NFYB	MAX
NFYB	DDIT3
NFYB	SREBF2
