protein1	protein2
TP53	CBX2
TP53	SOX2
TP53	PLAGL1
TP53	TP63
TP53	ZKSCAN4
TP53	ETS1
TP53	STAT3
TP53	DNMT1
TP53	L3MBTL1
TP53	RELA
TP53	NFYB
TP53	POU4F2
TP53	ZNF385A
TP53	AR
TP53	TBPL1
TP53	SNAI2
TP53	HIF1A
TP53	FOXO4
PRDM16	ZNF516
MEF2D	MYF6
MEF2D	ESRRA
MEF2D	NFATC2
MEF2D	MEF2C
MEF2D	TCF3
MEF2D	TCF12
MEF2D	MEF2A
MEF2D	JUN
MEF2D	MYOG
MEF2D	MYOD1
MEF2D	NFATC1
MEF2D	MYF5
MEF2D	TCF4
MEF2D	NR4A1
SETDB1	PPARG
SETDB1	POU5F1
MEIS1	RARG
MEIS1	LMX1B
MEIS1	HOXB13
MEIS1	HOXA5
MEIS1	DLX3
MEIS1	PBX1
MEIS1	NCOA3
MEIS1	EN2
MEIS1	HOXA10
MEIS1	HOXB1
MEIS1	PKNOX1
MEIS1	EGR2
MEIS1	HOXA9
MEIS1	HOXA1
MEIS1	RXRA
MEIS1	HOXB2
MEIS1	PBX3
MEIS1	MEIS2
MEIS1	RARA
MEIS1	EN1
HES6	HES1
ZKSCAN7	ZSCAN23
ZKSCAN7	ZSCAN22
ZKSCAN7	ZKSCAN4
ZKSCAN7	ZSCAN21
FERD3L	TWIST2
FERD3L	TCF3
FERD3L	TCF4
FERD3L	TCF12
PRDM14	NANOG
PRDM14	PBX1
PRDM14	EPAS1
PRDM14	KLF4
PRDM14	SALL4
PRDM14	SMAD4
PRDM14	ZSCAN10
PRDM14	POU5F1
PRDM14	LIN28A
PRDM14	SOX2
PRDM14	PRDM6
TERF1	PIN1
TERF1	TERF2
ZNF462	VAX1
MYRF	MYF6
MYRF	MYOG
MYRF	MYOD1
MYRF	MYF5
MYRF	SOX10
MYCN	TP53
MSGN1	TBX6
POU4F2	ATOH7
POU4F2	TP53
POU4F2	ESR1
POU4F2	PAX6
TCF7L1	SOX13
TCF7L1	TEAD3
TCF7L1	TEAD2
TCF7L1	TEAD4
TCF7L1	SOX17
TCF7L1	RUNX3
TCF7L1	LEF1
TCF7L1	SOX4
TCF7L1	TEAD1
TCF7L1	TCF7
TCF7L1	MYC
TCF7L1	SMAD4
TCF7L1	TCF7L2
FEZF2	SATB2
FEZF2	TBR1
UBP1	TFCP2
HOXA10	MEIS1
HOXA10	HOXA9
CEBPG	ATF4
CEBPG	ATF5
CEBPG	CEBPB
BATF	JUN
BATF	JUND
BATF	JUNB
BATF	IRF4
BATF	STAT6
BATF	STAT3
MTERF3	MTERF1
MTERF3	MTERF2
ZIC3	NANOG
ZIC3	POU5F1
ZIC3	SOX2
PPARG	E2F1
PPARG	BHLHE40
PPARG	GATAD2B
PPARG	ATF2
PPARG	RXRB
PPARG	SNAI1
PPARG	SREBF1
PPARG	NR2F2
PPARG	NFATC2
PPARG	ZNF423
PPARG	NCOA1
PPARG	RXRA
PPARG	FOXO1
PPARG	REST
PPARG	MBD3
PPARG	EGR1
PPARG	RXRG
PPARG	SALL4
PPARG	E2F4
PPARG	JUN
PPARG	NR2E1
PPARG	FOS
PPARG	PAX8
PPARG	TP53
PPARG	MECOM
PPARG	SETDB1
PPARG	NFKB1
PPARG	NCOA3
PPARG	EBF1
PPARG	NFATC1
PPARG	GATAD2A
PPARG	KLF5
PPARG	CBX2
PPARG	NFATC3
PPARG	CEBPA
PPARG	RELA
PPARG	CEBPB
PPARG	NCOA2
PPARG	CEBPD
PPARG	SNAI2
PPARG	ZNF467
PPARG	SREBF2
ZSCAN23	ZKSCAN7
HOXB13	MEIS1
HOXB13	TEAD4
HOXB13	AR
HOXB13	PRRX2
HOXB13	MEIS2
SIM2	ARNT
SIM2	ARNT2
ISL2	LHX4
PKNOX1	MEIS1
PKNOX1	RARG
PKNOX1	PBX2
PKNOX1	MAFB
PKNOX1	CTCF
PKNOX1	PBX1
PKNOX1	NCOA3
PKNOX1	HOXA2
PKNOX1	HOXB1
PKNOX1	EGR2
PKNOX1	HOXA1
PKNOX1	RXRA
PKNOX1	HOXA3
PKNOX1	HOXB2
PKNOX1	RARA
ZSCAN21	ZSCAN32
ZSCAN21	ZKSCAN4
ZSCAN21	ZKSCAN7
STAT5B	NR3C1
STAT5B	STAT2
STAT5B	IRF9
STAT5B	STAT1
STAT5B	BCL6
STAT5B	STAT4
STAT5B	TBX21
STAT5B	FOS
STAT5B	FOXP3
STAT5B	CUX1
STAT5B	STAT6
STAT5B	STAT5A
STAT5B	STAT3
ZNF653	CDC5L
TAL1	GATA1
TAL1	RUNX1
TAL1	MYB
TAL1	GATA3
TAL1	TCF3
TAL1	TCF12
TAL1	GATA2
GMEB1	GMEB2
LHX8	FIGLA
LHX8	NOBOX
LHX8	NKX2-1
LHX8	SOHLH1
ZNF496	ZKSCAN4
REL	FOXP3
REL	NFKB2
REL	NFKB1
REL	RELB
REL	RELA
NEUROD1	PAX4
NEUROD1	INSM1
NEUROD1	NEUROG3
NEUROD1	PAX6
NEUROD1	TCF3
NEUROD1	SOX2
NEUROD1	TCF4
NEUROD1	NKX6-1
NEUROD1	PDX1
NEUROD1	ISL1
NEUROD1	TCF12
NEUROD1	NKX2-2
EN1	MEIS1
EN1	MEIS2
KCNIP3	CREM
MITF	PAX3
MITF	CREB1
MITF	TFE3
MITF	PAX6
MITF	LEF1
MITF	SOX10
MITF	SPI1
MITF	TFEB
NKX6-1	ONECUT1
NKX6-1	PTF1A
NKX6-1	NEUROG3
NKX6-1	PDX1
NKX6-1	ISL1
NKX6-1	OLIG2
NKX6-1	NEUROD1
HESX1	TBX19
HESX1	POU1F1
KLF15	CLOCK
KLF15	ARNTL
KLF15	NPAS2
T	MIXL1
SOX17	GATA6
SOX17	NANOG
SOX17	POU5F1
SOX17	LEF1
SOX17	TCF7
SOX17	GATA4
SOX17	FOXA2
SOX17	TCF7L2
SOX17	TCF7L1
EN2	MEIS1
GBX1	SOHLH1
NFIL3	BHLHE40
NFIL3	NR1D2
NFIL3	RORB
NFIL3	NPAS2
NFIL3	BHLHE41
NFIL3	ARNTL
ZHX1	NFYA
PHOX2A	ASCL1
PKNOX2	HOXB1
SNAPC4	POU2F1
SNAPC4	SP1
SNAPC4	ZNF143
SNAPC4	GTF2B
SNAPC4	BRF2
SNAPC4	TBP
SNAPC4	ZC3H8
SNAPC4	SNAPC2
SNAPC4	SNAPC5
SNAPC4	POU2F2
FOXN4	NEUROD4
RAG1	FOXO1
ZNF211	ZNF416
STAT6	STAT2
STAT6	BATF
STAT6	POU2F1
STAT6	IRF9
STAT6	NANOG
STAT6	RORC
STAT6	IRF4
STAT6	GATA3
STAT6	STAT1
STAT6	STAT5B
STAT6	NCOA1
STAT6	FOXO1
STAT6	MYC
STAT6	BCL6
STAT6	STAT4
STAT6	FOS
STAT6	FOXP3
STAT6	TP53
STAT6	JUNB
STAT6	TWIST1
STAT6	STAT5A
STAT6	FOXO3
STAT6	RORA
STAT6	SOX2
STAT6	ETS1
STAT6	STAT3
STAT6	CEBPD
STAT6	ZEB1
STAT6	HIF1A
RUNX1	TBX21
RUNX1	ELF1
RUNX1	GATA1
RUNX1	ARID2
RUNX1	FOXP3
RUNX1	MECOM
RUNX1	MYB
RUNX1	KMT2B
RUNX1	NR4A3
RUNX1	SMAD3
RUNX1	ZFPM1
RUNX1	TAL1
RUNX1	ESR1
RUNX1	KMT2A
RUNX1	GATA3
RUNX1	NFATC2
RUNX1	CBX2
RUNX1	TCF3
RUNX1	RUNX3
RUNX1	ETS1
RUNX1	TCF12
RUNX1	CEBPA
RUNX1	CEBPB
RUNX1	ETS2
RUNX1	SPI1
RUNX1	ELF2
RUNX1	NFE2
RUNX1	SMAD4
RUNX1	GATA2
RUNX1	PAX5
NFATC3	JUN
NFATC3	FOSL1
NFATC3	MAF
NFATC3	FOS
NFATC3	SRF
NFATC3	CREM
NFATC3	JUNB
NFATC3	EGR4
NFATC3	NFATC1
NFATC3	IRF4
NFATC3	NFATC2
NFATC3	NFATC4
NFATC3	BATF3
NFATC3	GATA4
NFATC3	EGR1
NFATC3	PPARG
ZNF526	CDC5L
E4F1	TP53
BATF2	JUN
ATOH1	POU4F3
ATOH1	TCF3
ATOH1	SOX2
ATOH1	TCF4
ATOH1	TCF12
GBX2	PAX2
ZNF396	ZNF174
ZNF396	ZKSCAN3
ZNF396	ZBED9
ZNF396	ZNF445
ZNF396	ZNF24
ZNF396	ZKSCAN4
ZNF396	ZSCAN18
CXXC5	ESR1
HOXD4	HOXA5
HOXD4	HOXA6
HOXD4	HOXB6
HOXD4	HOXC8
HOXD4	YY1
HOXD4	HOXB3
HOXD4	HOXC4
HOXD4	NCOA3
HOXD4	HOXC9
HOXD4	HOXC5
HOXD4	HOXB7
HOXD4	PAX6
HOXD4	HOXB5
HOXD4	RXRA
HOXD4	HOXC6
HOXD4	HOXB4
HOXD4	RARB
HOXD4	HOXD9
HOXD4	HOXA7
HOXD4	RARA
ONECUT1	NEUROG3
ONECUT1	NKX6-1
ONECUT1	PDX1
ONECUT1	ONECUT3
ONECUT1	HNF1B
ONECUT1	FOXA2
ONECUT1	FOXM1
OTP	SIM1
HOXC9	HOXA5
HOXC9	HOXB6
HOXC9	HOXC4
HOXC9	HOXC5
HOXC9	HOXB5
HOXC9	HOXD4
ZNF280A	ZNF280B
JUNB	JUND
JUNB	ATF2
JUNB	BATF
JUNB	SP1
JUNB	SMAD3
JUNB	ATF3
JUNB	NFATC2
JUNB	EGR1
JUNB	SMAD4
JUNB	ATF7
JUNB	JUN
JUNB	FOSL1
JUNB	FOS
JUNB	FOSL2
JUNB	JDP2
JUNB	FOSB
JUNB	NFATC1
JUNB	STAT6
JUNB	CREB5
JUNB	NFATC3
JUNB	STAT3
JUNB	BATF3
FOXA3	HNF1A
PITX2	ZFHX3
PITX2	SP7
PITX2	PITX3
PITX2	TFAP2C
PITX2	LEF1
PITX2	TFAP2A
PITX2	FOXC1
THAP11	THAP1
THAP11	THAP3
THAP11	THAP4
THAP11	THAP5
THAP11	THAP7
ZNF467	PPARG
CEBPB	RUNX2
CEBPB	RUNX1
CEBPB	MYB
CEBPB	SMAD3
CEBPB	ATF3
CEBPB	ESR1
CEBPB	KLF4
CEBPB	NCOA1
CEBPB	RXRA
CEBPB	FOXO1
CEBPB	MYC
CEBPB	HSF2
CEBPB	SMAD4
CEBPB	PPARG
CEBPB	JUN
CEBPB	CREB1
CEBPB	NFKB1
CEBPB	NCOA3
CEBPB	CEBPG
CEBPB	EBF1
CEBPB	FOXO3
CEBPB	MYBL1
CEBPB	EGR2
CEBPB	KLF5
CEBPB	STAT3
CEBPB	CEBPA
CEBPB	RELA
CEBPB	NCOA2
CEBPB	CEBPD
CEBPB	DDIT3
CEBPB	FOXO4
FOS	ELK1
FOS	JUND
FOS	MAF
FOS	NR3C1
FOS	ATF2
FOS	POU2F1
FOS	IRF9
FOS	CREM
FOS	SP1
FOS	SMAD3
FOS	ATF3
FOS	ESR1
FOS	GATA3
FOS	NFATC2
FOS	STAT1
FOS	STAT5B
FOS	NCOA1
FOS	ETS2
FOS	MYC
FOS	EGR1
FOS	SMAD4
FOS	TCF7L2
FOS	PPARG
FOS	ATF7
FOS	JUN
FOS	FOSL1
FOS	NFE2L2
FOS	SRF
FOS	FOXP3
FOS	TP53
FOS	CREB1
FOS	FOSL2
FOS	YY1
FOS	JUNB
FOS	NCOA3
FOS	JDP2
FOS	FOSB
FOS	NFATC1
FOS	STAT6
FOS	STAT5A
FOS	CREB5
FOS	NFATC3
FOS	FOXA1
FOS	ESR2
FOS	ETS1
FOS	STAT3
FOS	CEBPA
FOS	RELA
FOS	NR4A1
FOS	BATF3
FOS	HOXA7
FOS	GATA2
RFX2	FOXJ1
ETV5	STAT4
ETV5	JUN
ETV5	DUX4
BPTF	KMT2A
BPTF	ASH1L
BPTF	ADNP
BPTF	TFAP4
BPTF	ARID2
HOXC10	TBX4
ARNT2	ARNT
ARNT2	AHR
ARNT2	AHRR
ARNT2	EPAS1
ARNT2	SIM2
ARNT2	SIM1
ARNT2	HIF1A
ARNT2	POU3F2
DRAP1	DR1
DRAP1	FOXH1
DRAP1	TBPL2
DRAP1	TBP
DRAP1	SMAD3
DRAP1	TBPL1
DRAP1	SMAD4
CLOCK	BHLHE40
CLOCK	NR1D1
CLOCK	NR1D2
CLOCK	KLF15
CLOCK	PPARA
CLOCK	DBP
CLOCK	RORA
CLOCK	ARNTL2
CLOCK	NPAS2
CLOCK	BHLHE41
CLOCK	ARNTL
CBX2	JUN
CBX2	NR2E1
CBX2	GATAD2B
CBX2	ATF2
CBX2	RUNX1
CBX2	TP53
CBX2	MECOM
CBX2	PCGF2
CBX2	SNAI1
CBX2	PCGF6
CBX2	GATAD2A
CBX2	AEBP2
CBX2	REST
CBX2	MBD3
CBX2	SNAI2
CBX2	EGR1
CBX2	SALL4
CBX2	PPARG
HOXC5	HOXA5
HOXC5	HOXA6
HOXC5	HOXB6
HOXC5	HOXC8
HOXC5	HOXB3
HOXC5	HOXC4
HOXC5	HOXC9
HOXC5	HOXB7
HOXC5	HOXB5
HOXC5	HOXD4
HOXC5	HOXC6
HOXC5	HOXB4
HOXC5	HOXD9
HOXC5	HOXA7
TBX5	NKX2-3
TBX5	HAND2
TBX5	NKX2-5
TBX5	MEF2C
TBX5	ISL1
TBX5	GATA4
TBX5	SALL4
NR1D2	BHLHE40
NR1D2	NR1D1
NR1D2	NFIL3
NR1D2	DBP
NR1D2	BHLHE41
NR1D2	CLOCK
NR1D2	ARNTL
FOSL1	JUND
FOSL1	SP1
FOSL1	ATF4
FOSL1	NFATC2
FOSL1	JUN
FOSL1	FOS
FOSL1	USF2
FOSL1	FOSL2
FOSL1	JUNB
FOSL1	FOSB
FOSL1	NFATC1
FOSL1	NFATC3
SP3	SP1
SP3	SMAD3
SP3	SMAD4
SP3	NFATC1
PPARD	RXRB
PPARD	RXRA
PPARD	RXRG
PPARD	SMAD4
PPARD	HNF1A
PROP1	POU1F1
ZNF483	ZNF18
ZNF483	ZKSCAN4
REST	GATAD2B
REST	ATF2
REST	SNAI1
REST	MBD3
REST	EGR1
REST	SALL4
REST	PPARG
REST	JUN
REST	NR2E1
REST	TP53
REST	MECOM
REST	GATAD2A
REST	CBX2
REST	SNAI2
ZHX3	NFYA
INSM1	NEUROG3
INSM1	NEUROD1
MLXIP	MLX
MLXIP	MLXIPL
HNF4A	SMAD3
HNF4A	SREBF1
HNF4A	NCOA1
HNF4A	MYC
HNF4A	HNF1B
HNF4A	SMAD4
HNF4A	TCF7L2
HNF4A	HNF1A
HNF4A	LEF1
HNF4A	FOXA2
HIC1	TP53
TFE3	MITF
TFE3	TFDP1
TFE3	SMAD3
TFE3	E2F3
TFE3	TFEB
TFE3	SMAD4
FOXR1	MYC
ZNF18	ZNF174
ZNF18	ZNF24
ZNF18	ZNF483
STAT2	STAT4
STAT2	IRF2
STAT2	IRF9
STAT2	IRF1
STAT2	IRF4
STAT2	STAT6
STAT2	STAT5A
STAT2	STAT1
STAT2	IRF8
STAT2	STAT5B
STAT2	IRF7
STAT2	IRF3
STAT2	IRF5
STAT2	STAT3
STAT2	EGR1
STAT2	IRF6
NEUROG2	PAX6
NEUROG2	NR4A2
NEUROG2	ASCL1
ZFP42	NANOG
ZFP42	POU5F1
EGR3	EGR2
HINFP	MECP2
GSX2	ASCL1
SNAPC5	SNAPC2
SNAPC5	POU2F1
SNAPC5	SP1
SNAPC5	ZNF143
SNAPC5	TBP
SNAPC5	BRF2
SNAPC5	GTF2B
SNAPC5	SNAPC4
SNAPC5	POU2F2
SNAPC5	ZC3H8
MLXIPL	MXD4
MLXIPL	SREBF1
MLXIPL	MLXIP
MLXIPL	MLX
ETV4	NCOA3
EBF1	NCOA3
EBF1	ZNF423
EBF1	KLF5
EBF1	TCF3
EBF1	NCOA1
EBF1	RXRA
EBF1	CEBPA
EBF1	CEBPB
EBF1	SPI1
EBF1	NCOA2
EBF1	CEBPD
EBF1	PPARG
EBF1	PAX5
E2F7	E2F1
E2F7	E2F8
E2F7	TP53
ZNF645	FBXL19
ZNF645	ZBTB16
ZNF645	RBCK1
TPRX1	DUXA
TPRX1	DPRX
TPRX1	LEUTX
SOX2	ZIC3
SOX2	PAX3
SOX2	POU2F1
SOX2	FOXD3
SOX2	PAX2
SOX2	NANOG
SOX2	PBX1
SOX2	ATOH1
SOX2	EPAS1
SOX2	KLF4
SOX2	PAX6
SOX2	HES5
SOX2	ESRRB
SOX2	OTX2
SOX2	NEUROD1
SOX2	SIX3
SOX2	MYC
SOX2	SALL1
SOX2	SALL4
SOX2	SMAD4
SOX2	LIN28B
SOX2	ZSCAN10
SOX2	TP53
SOX2	POU5F1
SOX2	LIN28A
SOX2	STAT6
SOX2	EOMES
SOX2	STAT3
SOX2	SNAI2
SOX2	PRDM14
SOX2	POU3F2
AHRR	ARNT
AHRR	ARNT2
FOXJ1	RFX2
FOXJ1	RFX3
GRHL1	PPARA
GRHL1	NCOA1
GRHL1	RXRA
GRHL1	NCOA2
PGR	NR3C2
PGR	NR3C1
PGR	ESR1
PGR	GATA3
PGR	NCOA1
PGR	NCOA3
PGR	FOXA1
PGR	AR
NR2F1	ESR1
NR2F1	RXRA
NR2F1	MYC
NR2F1	PPARA
ZFPM1	GATA1
ZFPM1	GATAD2B
ZFPM1	RUNX1
ZFPM1	KMT2B
ZFPM1	KMT2A
ZFPM1	GATA3
ZFPM1	GATA5
ZFPM1	MBD3
ZFPM1	GATA4
ZFPM1	ZFPM2
ZFPM1	GATA6
ZFPM1	GATAD2A
ZFPM1	GATA2
RORC	BHLHE40
RORC	TBX21
RORC	FOXP3
RORC	RORB
RORC	STAT6
RORC	RORA
RORC	NCOA1
RORC	STAT3
RORC	NPAS2
MAF	MYB
MAF	AHR
MAF	IRF4
MAF	GATA3
MAF	NFATC2
MAF	PAX6
MAF	ZNF521
MAF	NFE2
MAF	NFE2L2
MAF	FOS
MAF	NFATC1
MAF	NFATC3
MAF	AR
MYT1	PIN1
NKX2-5	HAND2
NKX2-5	ATF2
NKX2-5	SRF
NKX2-5	TBX20
NKX2-5	FOXH1
NKX2-5	GATA6
NKX2-5	TBX18
NKX2-5	NFATC1
NKX2-5	MEF2C
NKX2-5	GATA5
NKX2-5	ISL1
NKX2-5	SMAD5
NKX2-5	SMAD1
NKX2-5	TBX5
NKX2-5	TBX3
NKX2-5	GATA4
NKX2-5	SMAD4
NKX2-5	TBX2
NKX2-5	HAND1
TGIF1	SMAD3
TGIF1	TGIF2
TGIF1	SMAD4
SNAI3	MBD3
ZNF71	ZNF69
HMG20B	SNAI1
HMG20B	HMG20A
HMG20B	PHF21A
MAFA	PDX1
SIX6	PAX6
SIX6	OTX2
SIX6	DACH1
FOXK1	YY1
FOXK1	MBD6
HOXB4	HOXA5
HOXB4	HOXA6
HOXB4	HOXB6
HOXB4	HOXC8
HOXB4	HOXB3
HOXB4	HOXC4
HOXB4	NCOA3
HOXB4	HOXC5
HOXB4	HOXB7
HOXB4	HOXB5
HOXB4	HOXD4
HOXB4	RXRA
HOXB4	HOXC6
HOXB4	HOXA3
HOXB4	HOXB8
HOXB4	RARB
HOXB4	HOXA7
HOXB4	RARA
CREB3L2	CREB3L4
CREB3L2	ATF2
CREB3L2	CREB1
CREB3L2	ATF1
CREB3L2	ATF4
CREB3L2	CREB3
CREB3L2	CREB3L1
CREB3L2	ATF6B
CREB3L2	CREB5
CREB3L2	CREB3L3
POU3F2	ARNT2
POU3F2	MYT1L
POU3F2	SOX2
POU3F2	SOX10
POU3F2	ASCL1
SP1	NFYC
SP1	E2F1
SP1	ARNT
SP1	JUND
SP1	POU2F1
SP1	SMAD3
SP1	ESR1
SP1	NR1H3
SP1	ZNF143
SP1	NCOA1
SP1	GTF2B
SP1	ETS2
SP1	NFYA
SP1	MYC
SP1	SMAD4
SP1	SNAPC4
SP1	FOXM1
SP1	JUN
SP1	FOSL1
SP1	FOS
SP1	USF2
SP1	TP53
SP1	TBP
SP1	SP3
SP1	TFDP1
SP1	JUNB
SP1	E2F2
SP1	ZC3H8
SP1	NCOA3
SP1	PPARA
SP1	NFATC1
SP1	SNAPC2
SP1	E2F3
SP1	ZBTB17
SP1	ESR2
SP1	TP63
SP1	USF1
SP1	ETS1
SP1	DNMT1
SP1	CEBPA
SP1	RELA
SP1	NFYB
SP1	SNAPC5
SP1	NCOA2
SP1	POU2F2
SP1	HOXA7
SP1	HIF1A
SP1	SREBF2
SOX1	POU5F1
SOX1	PAX6
OLIG2	PAX6
OLIG2	NKX6-1
OLIG2	SOX10
OLIG2	ASCL1
OLIG2	NKX2-2
MXI1	MAX
WT1	PAX2
WT1	TBX18
WT1	NR0B1
WT1	GATA4
WT1	SOX9
WT1	TP53
WT1	TET2
WT1	TP73
WT1	NR5A1
WT1	TCF21
ZNF704	HSF2
ZNF397	ZNF174
ZNF397	ZKSCAN3
ZNF397	ZSCAN22
ZNF397	ZNF24
ZNF397	ZNF394
ZNF397	ZSCAN30
ZNF397	ZSCAN32
ZNF397	ZKSCAN4
ZNF397	ZNF197
ZNF397	ZSCAN20
ZNF397	ZKSCAN8
ZNF397	ZNF213
IKZF1	GATA1
IKZF1	IKZF4
IKZF1	IRF4
IKZF1	IRF8
IKZF1	IKZF3
IKZF1	SPI1
HOXB2	MEIS1
HOXB2	PBX1
HOXB2	HOXB1
HOXB2	PKNOX1
HOXB2	EGR2
RARB	PCGF2
RARB	RXRB
RARB	CTCF
RARB	PAX6
RARB	HOXD4
RARB	NCOA1
RARB	RXRA
RARB	HOXA4
RARB	HOXB4
RARB	RXRG
RARB	RARG
RARB	THRA
RARB	YY1
RARB	NCOA3
RARB	VDR
RARB	NCOA2
RARB	THRB
RARB	RARA
ZSCAN22	ZSCAN32
ZSCAN22	ZNF397
ZSCAN22	ZSCAN16
ZSCAN22	ZKSCAN7
PURA	PURB
ZKSCAN8	ZNF397
ZKSCAN8	ZKSCAN4
SMAD3	ARNT
SMAD3	RUNX2
SMAD3	NR3C1
SMAD3	ATF2
SMAD3	RUNX1
SMAD3	FOXH1
SMAD3	SP1
SMAD3	SNAI1
SMAD3	ATF3
SMAD3	ESR1
SMAD3	TGIF2
SMAD3	GATA3
SMAD3	MEF2C
SMAD3	TCF3
SMAD3	RUNX3
SMAD3	NCOA1
SMAD3	TGIF1
SMAD3	FOXO1
SMAD3	SMAD9
SMAD3	ZEB2
SMAD3	DLX1
SMAD3	MYC
SMAD3	SMAD4
SMAD3	E2F4
SMAD3	JUN
SMAD3	FOS
SMAD3	FOXP3
SMAD3	E2F5
SMAD3	TP53
SMAD3	DRAP1
SMAD3	TFAP2B
SMAD3	SP3
SMAD3	TFDP1
SMAD3	JUNB
SMAD3	HNF4A
SMAD3	TFE3
SMAD3	MYOD1
SMAD3	VDR
SMAD3	FOXO3
SMAD3	HMGA2
SMAD3	SKIL
SMAD3	IRF7
SMAD3	ZBTB17
SMAD3	SKI
SMAD3	STAT3
SMAD3	SMAD1
SMAD3	CEBPB
SMAD3	AR
SMAD3	NCOA2
SMAD3	ZEB1
SMAD3	MAX
SMAD3	HIF1A
SMAD3	FOXO4
SMAD3	FOXG1
FIGLA	SOHLH1
FIGLA	LHX8
FIGLA	NOBOX
FOXL2	SOX9
FOXL2	DMRT1
FOXL2	NR5A1
TTF1	GATAD2B
TTF1	BAZ2A
TTF1	MBD3
TTF1	TBP
TTF1	GATAD2A
TTF1	DNMT1
GATA4	GATA1
GATA4	HAND2
GATA4	ATF2
GATA4	TBX20
GATA4	ZFPM1
GATA4	GATA3
GATA4	NFATC2
GATA4	WT1
GATA4	MEF2C
GATA4	GATA5
GATA4	NFATC4
GATA4	TBX5
GATA4	SMAD4
GATA4	ZFPM2
GATA4	SRF
GATA4	NKX2-5
GATA4	GATA6
GATA4	HEY2
GATA4	POU5F1
GATA4	NR5A1
GATA4	NFATC1
GATA4	SOX17
GATA4	NFATC3
GATA4	HEY1
GATA4	ISL1
GATA4	SMAD5
GATA4	SMAD1
GATA4	FOXA2
GATA4	GATA2
ARID2	RUNX1
ARID2	BPTF
ARID2	DPF3
FOXK2	YY1
FOXK2	MBD6
NR1I2	NCOA1
NR1I2	RXRA
ATF4	CREB3L4
ATF4	JUN
ATF4	FOSL1
ATF4	CREB3L2
ATF4	ATF2
ATF4	CREB1
ATF4	FOSL2
ATF4	CREM
ATF4	ATF3
ATF4	XBP1
ATF4	CEBPG
ATF4	CREB5
ATF4	ATF6
ATF4	ATF1
ATF4	DDIT3
ATF4	CREB3
ATF4	CREB3L1
ATF4	ATF6B
ATF4	CREB3L3
CENPA	CENPT
CENPA	AHCTF1
CENPA	CENPB
CENPA	FOXM1
CENPA	FBXL19
ZNF394	ZSCAN32
ZNF394	ZNF397
MXD4	MNT
MXD4	MLX
MXD4	MLXIPL
ZBTB16	RUNX2
ZBTB16	ZNF645
ZBTB16	FBXL19
ZBTB16	HOXD11
ZBTB16	RARA
ZBTB16	RBCK1
HEY1	HEYL
HEY1	GATA1
HEY1	GATA6
HEY1	HEY2
HEY1	HES1
HEY1	MYOD1
HEY1	STAT1
HEY1	TCF3
HEY1	NCOA1
HEY1	AR
HEY1	GATA4
HEY1	RBPJ
NPAS2	BHLHE40
NPAS2	NR1D1
NPAS2	KLF15
NPAS2	RORC
NPAS2	NFIL3
NPAS2	PPARA
NPAS2	DBP
NPAS2	RORA
NPAS2	ARNTL2
NPAS2	NCOA1
NPAS2	RXRA
NPAS2	NCOA2
NPAS2	BHLHE41
NPAS2	CLOCK
NPAS2	ARNTL
ZNF212	ZNF398
ZNF212	ZNF746
ZNF212	ZNF282
ZNF212	ZNF777
ZNF420	TP53
BCL11A	NR2F2
ZNF444	ZNF232
ZNF385A	TP53
FOXG1	SMAD3
FOXG1	PAX6
FOXG1	EMX2
FOXG1	FOXO1
FOXG1	SMAD4
FOXG1	SRF
FOXG1	FOXO3
FOXG1	FOXO4
ZNF70	ZNF69
PAX4	NEUROG3
PAX4	NEUROD1
PAX4	NKX2-2
MYB	MAF
MYB	GATA1
MYB	RUNX1
MYB	ESR1
MYB	KMT2A
MYB	GATA3
MYB	TCF3
MYB	TCF12
MYB	MYC
MYB	TP53
MYB	HES1
MYB	TAL1
MYB	MYOD1
MYB	LEF1
MYB	SKI
MYB	CEBPA
MYB	CEBPB
MYB	SPI1
MYB	GATA2
MYB	PAX5
LMX1A	MSX1
LMX1A	NR4A2
TCF7	SOX13
TCF7	TEAD3
TCF7	TEAD2
TCF7	TEAD4
TCF7	SOX17
TCF7	RUNX3
TCF7	LEF1
TCF7	SOX4
TCF7	TEAD1
TCF7	SMAD4
TCF7	TCF7L2
TCF7	TCF7L1
ZNF14	ESR2
MEF2C	E2F1
MEF2C	NR3C1
MEF2C	HAND2
MEF2C	SMAD3
MEF2C	MYF6
MEF2C	ESRRA
MEF2C	MEF2D
MEF2C	TCF3
MEF2C	TCF12
MEF2C	TBX5
MEF2C	GATA4
MEF2C	MEF2A
MEF2C	SMAD4
MEF2C	HAND1
MEF2C	JUN
MEF2C	NKX2-5
MEF2C	TFDP1
MEF2C	E2F2
MEF2C	MYOG
MEF2C	MYOD1
MEF2C	NFATC1
MEF2C	MYF5
MEF2C	E2F3
MEF2C	TCF4
MEF2C	DLX5
MEF2C	GTF3A
MEF2C	NCOA2
STAT5A	NR3C1
STAT5A	STAT2
STAT5A	IRF9
STAT5A	ESR1
STAT5A	STAT1
STAT5A	STAT5B
STAT5A	BCL6
STAT5A	STAT4
STAT5A	TBX21
STAT5A	FOS
STAT5A	FOXP3
STAT5A	CUX1
STAT5A	STAT6
STAT5A	STAT3
RBPJL	PTF1A
RBPJL	RBPJ
SMAD4	PPARD
SMAD4	ARNT
SMAD4	RUNX2
